"ip","app","device","os","channel","is_attributed","hour","minute","second"
87540,12,1,13,497,0,9,30,38
105560,25,1,17,259,0,13,40,27
101424,12,1,19,212,0,18,5,24
94584,13,1,13,477,0,4,58,8
68413,12,1,1,178,0,9,0,9
93663,3,1,17,115,0,1,22,13
17059,1,1,17,135,0,1,17,58
121505,9,1,25,442,0,10,1,53
192967,2,2,22,364,0,9,35,17
143636,3,1,19,135,0,12,35,26
73839,3,1,22,489,0,8,14,37
34812,3,1,13,489,0,5,3,14
114809,3,1,22,205,0,10,24,23
114220,6,1,20,125,0,14,46,16
36150,2,1,13,205,0,0,54,9
72116,25,2,19,259,0,23,17,45
5314,2,1,2,477,0,7,33,41
106598,3,1,20,280,0,3,44,35
72065,20,2,90,259,0,23,14,8
37301,14,1,13,349,0,20,7,0
28735,12,1,19,265,0,9,55,22
66918,64,1,25,459,0,17,1,58
25761,9,1,10,215,0,2,5,37
8362,7,1,19,101,0,10,30,0
45257,3,1,18,280,0,1,35,31
145896,64,1,13,459,0,3,58,58
162976,3,1,13,115,0,16,19,5
52432,1,1,13,115,0,17,22,52
135690,12,1,40,122,0,6,39,4
139137,12,1,13,497,0,10,11,50
48846,3,1,19,379,0,3,14,43
70747,64,1,15,459,0,14,0,50
10831,15,1,19,386,0,12,39,11
89242,1,1,27,124,0,9,37,21
140138,12,1,13,265,0,7,1,20
28411,14,1,13,442,0,23,45,32
127888,13,1,23,477,0,16,24,24
75943,2,1,53,477,0,13,28,54
87879,3,1,13,115,0,3,20,59
250933,3,1,13,280,0,11,9,48
133933,12,1,13,140,0,11,11,53
35096,18,1,19,107,0,15,26,37
49431,15,1,49,245,0,23,11,39
53365,15,1,19,111,0,4,23,1
92599,25,2,13,259,0,10,4,27
107148,15,1,13,140,0,0,49,13
116677,9,1,13,134,0,0,56,33
11051,15,1,19,245,0,2,14,22
48240,2,1,19,122,0,14,40,36
92488,14,1,18,401,0,17,33,47
74999,11,1,13,137,0,15,17,12
123221,15,1,20,245,0,15,31,6
4019,12,1,19,265,0,1,10,59
40168,8,1,13,145,0,2,22,7
328403,15,1,13,278,0,3,20,31
134466,64,1,13,459,0,10,42,25
122354,9,1,19,134,0,23,16,58
104645,14,1,19,379,0,12,57,0
184757,3,1,13,409,0,9,31,27
3488,3,1,22,115,0,0,12,44
63994,3,1,13,115,0,3,21,3
52076,23,1,10,153,0,16,41,39
88604,6,1,17,459,0,16,28,6
9073,3,1,37,466,0,4,55,0
105861,3,1,10,442,0,20,25,19
25114,18,1,13,107,0,2,7,55
25876,21,1,26,128,0,9,57,39
61941,64,1,41,459,0,23,7,23
79827,11,1,19,481,0,18,21,9
99641,15,1,22,386,0,3,46,58
171729,9,1,13,334,0,10,31,2
257816,3,1,19,424,0,12,29,52
100494,64,1,8,459,0,13,32,3
5348,8,1,11,145,0,13,17,6
137208,2,1,13,212,0,10,24,13
81356,56,1,9,406,0,11,57,10
58128,15,1,13,245,0,12,29,28
71483,3,1,9,115,0,0,59,9
7521,12,1,15,409,0,12,14,23
100066,18,1,14,134,0,9,12,27
259930,15,1,28,245,0,11,30,35
30240,3,1,17,137,0,16,4,19
63109,23,1,25,153,0,1,43,11
5314,28,1,19,135,0,14,11,43
36311,3,1,19,115,0,0,57,14
44494,9,1,17,489,0,11,26,20
111021,36,1,15,373,0,5,49,5
210555,9,1,8,134,0,16,13,31
6414,2,1,47,377,0,14,22,16
123729,18,1,10,107,0,23,7,32
73040,14,1,19,401,0,16,49,7
334558,2,1,13,435,0,5,45,8
123994,1,1,19,101,0,14,27,57
94536,3,1,25,424,0,4,50,30
127351,25,1,13,259,0,16,27,20
2600,12,1,18,265,0,19,16,25
99926,12,1,13,245,0,18,6,5
114878,2,2,9,477,0,2,35,23
173847,3,1,13,452,0,14,57,14
145747,12,1,13,178,0,13,54,7
94081,9,1,18,445,0,2,52,27
74725,9,1,13,334,0,10,55,35
51895,18,1,17,107,0,7,26,2
75431,9,1,13,334,0,11,34,40
104922,14,1,3,442,0,4,52,24
173247,14,1,6,439,0,23,20,50
124006,12,1,13,242,0,5,15,40
77310,15,1,19,315,0,15,4,21
61667,8,2,97,259,0,5,0,39
118349,21,1,19,128,0,1,7,36
46650,2,1,13,237,0,3,54,49
337099,3,1,19,280,0,7,16,38
34067,1,1,15,134,0,15,6,6
61635,15,1,10,3,0,11,2,22
145260,14,1,19,480,0,4,48,54
110245,8,1,22,145,0,22,41,22
77730,15,1,13,245,0,16,17,45
108831,18,1,10,107,0,6,36,51
124794,23,1,13,153,0,13,46,43
61706,14,1,15,439,0,12,2,20
91175,23,1,13,153,0,1,20,11
82618,18,1,19,107,0,9,51,4
81970,7,1,18,101,0,11,33,43
301417,22,1,19,116,0,23,20,26
187501,12,1,41,245,0,1,39,34
20295,3,1,13,280,0,15,58,40
25885,3,1,19,424,0,1,47,6
104753,1,1,19,125,0,9,44,2
191339,28,1,19,135,0,10,36,50
103208,26,1,22,121,0,15,32,16
92092,23,1,19,153,0,11,52,5
82427,3,1,11,280,0,8,53,30
47543,13,1,19,400,0,13,40,51
335694,2,1,8,435,0,5,5,49
175559,3,1,8,442,0,3,42,29
158312,14,1,13,439,0,5,31,24
108040,3,1,19,115,0,9,27,5
85072,17,2,9,280,0,5,23,41
197093,15,1,19,265,0,23,36,5
209540,2,1,18,477,0,13,32,27
79909,21,1,4,128,0,19,22,18
199702,18,1,17,376,0,4,53,19
40372,9,1,31,442,0,0,40,29
178124,2,1,13,469,0,2,47,3
18654,18,1,27,107,0,8,55,35
20309,8,1,13,140,0,10,16,0
74640,3,1,16,424,0,1,9,2
93460,15,1,13,130,0,5,8,40
80455,3,1,15,371,0,1,46,16
104729,12,1,6,140,0,13,48,6
58485,3,1,25,280,0,7,14,46
91885,3,1,16,442,0,17,7,52
111324,12,1,13,178,0,3,20,24
27342,12,1,19,259,0,1,21,52
153208,18,1,13,107,0,16,5,27
54868,12,1,6,259,0,18,59,38
278420,2,1,3,469,0,11,32,53
204614,9,1,3,466,0,9,48,30
85172,2,1,19,435,0,12,38,59
